Time    Loss    Elapsed     Type    Success
[11/08/2022, 18:08:03]	 (0.9,)	 81	 !center	 False
[11/08/2022, 18:09:57]	 (0.9,)	 81	 !center	 False
[11/08/2022, 18:11:08]	 (0.9,)	 39	 !center	 True
[11/08/2022, 18:13:09]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:15:02]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:16:09]	 (0.95,)	 35	 !center	 True
[11/08/2022, 18:18:03]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:19:57]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:21:51]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:23:45]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:25:38]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:26:53]	 (0.95,)	 43	 !center	 True
[11/08/2022, 18:28:47]	 (0.95,)	 81	 !center	 False
[11/08/2022, 18:30:48]	 0.99	 81	 !center	 False
[11/08/2022, 18:32:42]	 0.99	 81	 !center	 False
[11/08/2022, 18:34:36]	 0.99	 81	 !center	 False
[11/08/2022, 18:36:30]	 0.99	 81	 !center	 False
[11/08/2022, 18:38:23]	 0.99	 81	 !center	 False
[11/08/2022, 18:40:16]	 0.99	 81	 !center	 False
[11/08/2022, 18:42:10]	 0.99	 81	 !center	 False
[11/08/2022, 18:44:04]	 0.99	 81	 !center	 False
[11/08/2022, 18:45:57]	 0.99	 81	 !center	 False
[11/08/2022, 18:47:50]	 0.99	 81	 !center	 False

